State,County/ Congressional District,Veteran Population,Year
Iowa,HOWARD,746,2010
Iowa,HUMBOLDT,1056,2010
Iowa,IDA,716,2010
Iowa,IOWA,1345,2010
Iowa,JACKSON,1922,2010
Iowa,JASPER,3298,2010
Iowa,JEFFERSON,1250,2010
Iowa,JOHNSON,7024,2010
Iowa,JONES,2180,2010
Iowa,KEOKUK,882,2010
Iowa,KOSSUTH,1544,2010
Iowa,LEE,3593,2010
Iowa,LINN,17013,2010
Iowa,LOUISA,918,2010
Iowa,LUCAS,830,2010
Iowa,LYON,766,2010
Iowa,MADISON,1322,2010
Iowa,MAHASKA,1767,2010
Iowa,MARION,2670,2010
Iowa,MARSHALL,3956,2010
Iowa,MILLS,1684,2010
Iowa,MITCHELL,1250,2010
Iowa,MONONA,1117,2010
Iowa,MONROE,774,2010
Iowa,MONTGOMERY,902,2010
Iowa,MUSCATINE,3143,2010
Iowa,O'BRIEN,1207,2010
Iowa,OSCEOLA,475,2010
Iowa,PAGE,1511,2010
Iowa,PALO ALTO,1025,2010
Iowa,PLYMOUTH,2190,2010
Iowa,POCAHONTAS,852,2010
Iowa,POLK,28262,2010
Iowa,POTTAWATTAMIE,8581,2010
Iowa,POWESHIEK,1682,2010
Iowa,RINGGOLD,479,2010
Iowa,SAC,943,2010
Iowa,SCOTT,13361,2010
Iowa,SHELBY,1079,2010
Iowa,SIOUX,1964,2010
Iowa,STORY,4837,2010
Iowa,TAMA,1538,2010
Iowa,TAYLOR,723,2010
Iowa,UNION,1095,2010
Iowa,VAN BUREN,801,2010
Iowa,WAPELLO,3058,2010
Iowa,WARREN,3958,2010
Iowa,WASHINGTON,1897,2010
Iowa,WAYNE,680,2010
Iowa,WEBSTER,3643,2010
Iowa,WINNEBAGO,1007,2010
Iowa,WINNESHIEK,1583,2010
Iowa,WOODBURY,7991,2010
Iowa,WORTH,709,2010
Iowa,WRIGHT,1269,2010
Kansas,ALLEN,1342,2010
Kansas,ANDERSON,699,2010
Kansas,ATCHISON,1411,2010
Kansas,BARBER,513,2010
Kansas,BARTON,2155,2010
Kansas,BOURBON,1306,2010
Kansas,BROWN,872,2010
Kansas,BUTLER,6060,2010
Kansas,CHASE,252,2010
Kansas,CHAUTAUQUA,378,2010
Kansas,CHEROKEE,1812,2010
Kansas,CHEYENNE,286,2010
Kansas,CLARK,180,2010
Kansas,CLAY,1030,2010
Kansas,CLOUD,992,2010
Kansas,COFFEY,734,2010
Kansas,COMANCHE,161,2010
Kansas,COWLEY,3173,2010
Kansas,CRAWFORD,3078,2010
Kansas,DECATUR,384,2010
Kansas,DICKINSON,2262,2010
Kansas,DONIPHAN,716,2010
Kansas,DOUGLAS,6417,2010
Kansas,EDWARDS,269,2010
Kansas,ELK,318,2010
Kansas,ELLIS,2233,2010
Kansas,ELLSWORTH,645,2010
Kansas,FINNEY,1597,2010
Kansas,FORD,1659,2010
Kansas,FRANKLIN,2208,2010
Kansas,GEARY,4399,2010
Kansas,GOVE,253,2010
Kansas,GRAHAM,181,2010
Kansas,GRANT,296,2010
Kansas,GRAY,308,2010
Kansas,GREELEY,96,2010
Kansas,GREENWOOD,658,2010
Kansas,HAMILTON,189,2010
Kansas,HARPER,502,2010
Kansas,HARVEY,2208,2010
Kansas,HASKELL,156,2010
